"name
(ranked by # of front page stories)",Outlet,usable (as individual),tiktok handle,url,followers,notes,"journalist as creator info (if they produce videos under an outlet's masthead, list the outlet's handle)",X handle (for reference)
James Romoser,Wall Street Journal,,,,,,,@jamesromoser
Allyson Chiu,Boston Globe,,,,,,,@_allysonchiu
Clara Migoya,Arizona Republic,,,,,,,@claramigoya
Robert Mcmillan,Wall Street Journal,,,,,,,@bobmcmillan
Carl Hulse,New York Times,,,,,,,@hillhulse
Jack Pitcher,Wall Street Journal,,,,,,,@jackpitcher20
Rebecca Feng,Wall Street Journal,,,,,,,@RebeccaYFeng
Charlotte Cripps,The Independent,,,,,,,@charcripps
Suhauna Hussain,Los Angeles Times,,,,,,,@suhaunah
Michael Crowley,New York Times +1,,,,,,,@michaelcrowley
Eric Platt,Financial Times,,,,,,,@EricGPlatt
